ID,Player,Team,Position,Salary
*0516h*,DJ Herz,WSH,P,1
*04pt2*,Lars Nootbaar,STL,OF,12
*03nru*,Jesus Sanchez,MIA,OF,1
*02yk4*,Tyler O'Neill,BAL,OF,9
*03dei*,Lane Thomas,CLE,OF,7
*03qo2*,LaMonte Wade Jr.,SF,1B,1
*04b00*,Brice Turang,MIL,2B,3
*04mlt*,Shane McClanahan,TB,P,15
*02n4s*,Matthew Boyd,CHC,P,1
*05yav*,David Festa,MIN,P,1
*03pix*,Tyler Stephenson,CIN,C,1
*05ub0*,Zack Gelof,ATH,2B,1
*05mre*,Spencer Strider,ATL,P,29
*063vu*,Matt Shaw,CHC,"2B,3B,SS",2
*050c3*,Jasson Dominguez,NYY,OF,5
*03aac*,Walker Buehler,BOS,P,7
*0414g*,Luis Garcia,WSH,2B,4
*04eld*,J.P. Sears,ATH,P,1
*0622t*,Jacob Wilson,ATH,SS,2
*02i2k*,Byron Buxton,MIN,OF,10
*05mdt*,Evan Carter,TEX,OF,5
*041q6*,Nolan Jones,COL,OF,6
*03dgq*,Ryan O'Hearn,BAL,"1B,OF",1
*041ts*,Luke Raley,SEA,"1B,OF",1
*03aay*,Thairo Estrada,COL,2B,1
*0514o*,Cody Bradford,TEX,P,1
*03btv*,Sandy Alcantara,MIA,P,16
*04mlr*,Jeffrey Springs,ATH,P,5
*025i9*,J.T. Realmuto,PHI,C,1
*04aeb*,Royce Lewis,MIN,3B,15
*05gtn*,Tyler Soderstrom,ATH,1B,4
*01cdf*,Giancarlo Stanton,NYY,UT,1
*029si*,Eduardo Rodriguez,ARI,P,1
*041ai*,Gavin Lux,CIN,2B,2
*051wv*,Pete Crow-Armstrong,CHC,OF,1
*05rc3*,Masataka Yoshida,BOS,UT,1
*025j1*,Robbie Ray,SF,P,4
*000dp*,Justin Verlander,SF,P,3
*02bqh*,Trevor Story,BOS,SS,1
*03aoy*,Sean Murphy,ATL,C,4
*03pji*,Ke'Bryan Hayes,PIT,3B,1
*0513c*,Joey Ortiz,MIL,3B,1
*05ahg*,Austin Wells,NYY,C,1
*05xod*,Sean Burke,CHW,P,2
*03qjy*,Brandon Lowe,TB,2B,9
*03c65*,Victor Robles,SEA,OF,1
*02i37*,Lucas Giolito,BOS,P,1
*02z0t*,Michael Conforto,LAD,OF,5
*04qnc*,Francisco Alvarez,NYM,C,5
*05xor*,Christian Encarnacion-Strand,CIN,1B,4
*041yb*,Dean Kremer,BAL,P,1
*05gbf*,Jordan Walker,STL,OF,2
*04hyc*,Ivan Herrera,STL,C,3
*01c5l*,Yu Darvish,SD,P,11
*04c0o*,Jose Soriano,LAA,P,1
*04y44*,Josh Jung,TEX,3B,3
*041r1*,Jesus Luzardo,PHI,P,12
*03d6p*,Grant Holmes,ATL,P,5
*04t3y*,Alejandro Kirk,TOR,C,1
*05js5*,Coby Mayo,BAL,3B,3
*04ep8*,Kutter Crawford,BOS,P,1
*06l54*,Shinnosuke Ogasawara,WSH,P,1
*04g1x*,David Peterson,NYM,P,1
*04s1g*,Gabriel Moreno,ARI,C,2
*05rb0*,Jackson Jobe,DET,P,2
*0596f*,Heston Kjerstad,BAL,UT,2
*05r1m*,Jordan Lawlar,ARI,SS,2
*045gu*,TJ Friedl,CIN,OF,2
*04yid*,Ryne Nelson,ARI,P,1
*05xsq*,Luis Ortiz,CLE,P,6
*04mnw*,Ryan Weathers,MIA,P,1
*06in4*,Hyeseong Kim,LAD,2B,1
*04eee*,Drew Rasmussen,TB,P,5
*04ali*,Edward Cabrera,MIA,P,1
*06650*,Hayden Birdsong,SF,P,1
*051e5*,Matt Waldron,SD,P,1
*030ud*,Eloy Jimenez,TB,UT,1
*004ee*,Max Scherzer,TOR,P,3
*03vcw*,Jordan Hicks,SF,P,1
*01vja*,Max Kepler,PHI,OF,1
*01ubo*,Kris Bryant,COL,UT,3
*02bx4*,Clay Holmes,NYM,RP,9
*04mn4*,Joey Bart,PIT,C,1
*04qnd*,Noelvi Marte,CIN,3B,1
*04pmb*,Kris Bubic,KC,RP,1
*05rik*,Bubba Chandler,PIT,P,2
*0311b*,Trevor Williams,WSH,P,1
*04ew7*,Aaron Ashby,MIL,P,1
*061bo*,Rhett Lowder,CIN,P,1
*05rch*,Colson Montgomery,CHW,SS,1
*041rf*,Shane Bieber,CLE,P,6
*05u9z*,Roman Anthony,BOS,OF,2
*041r5*,Dustin May,LAD,P,1
*0529l*,Endy Rodriguez,PIT,C,2
*05xtz*,Dalton Rushing,LAD,"C,OF",2
*06ala*,Osvaldo Bido,ATH,P,1
*05un2*,Edgar Quero,CHW,C,1
*05r3i*,Andrew Painter,PHI,P,2
*05gef*,Cade Cavalli,WSH,P,2
*0514f*,Hayden Wesneski,HOU,P,1
*04z6k*,Luisangel Acuna,NYM,SS,2
*05r9j*,Marcelo Mayer,BOS,SS,3
*06f0q*,Kristian Campbell,BOS,"2B,SS,OF",7
*063e5*,Caden Dana,LAA,P,1
*05js7*,Nick Yorke,PIT,2B,2
*04ysv*,Adael Amador,COL,2B,1
*05aoc*,Eury Perez,MIA,P,8
*05rbv*,Samuel Basallo,BAL,"C,1B",2
*05rbs*,Moises Ballesteros,CHC,C,2
*05uc7*,Noah Schultz,CHW,P,2
*05t9n*,Carson Williams,TB,SS,2
*062k5*,Nick Kurtz,ATH,1B,2
*04pq4*,Kyle Bradish,BAL,P,3
*05zde*,Travis Bazzana,CLE,2B,1
*05rb3*,Chase Burns,CIN,P,1
*05u9y*,Max Clark,DET,OF,2
*061zv*,Josue De Paula,LAD,OF,2
*0422c*,Kyle Hart,SD,RP,1
*05u3v*,Walker Jenkins,MIN,OF,4
*05rc5*,Termarr Johnson,PIT,"2B,SS",1
*06ibv*,Jesus Made,MIL,SS,1
*02bqy*,Joe Musgrove,SD,P,1
*054p6*,Emmanuel Rodriguez,MIN,OF,2
*05mrx*,Gavin Stone,LAD,P,1
*0662o*,Sebastian Walcott,TEX,"3B,SS",6
*06aw3*,JJ Wetherholt,STL,SS,1
